🌍央视频道,#genre#
CCTV-1综合,http://106.46.39.174:808/hls/1/index.m3u8
CCTV-2财经,http://106.46.39.174:808/hls/2/index.m3u8
CCTV-3综艺,http://106.46.39.174:808/hls/3/index.m3u8
CCTV-4中文国际,http://106.46.39.174:808/hls/4/index.m3u8
CCTV-5体育,http://106.46.39.174:808/hls/5/index.m3u8
CCTV-6电影,http://106.46.39.174:808/hls/6/index.m3u8
CCTV-7国防军事,http://106.46.39.174:808/hls/7/index.m3u8
CCTV-8电视剧,http://106.46.39.174:808/hls/8/index.m3u8
CCTV-9记录,http://106.46.39.174:808/hls/9/index.m3u8
CCTV-10科教,http://106.46.39.174:808/hls/10/index.m3u8
CCTV-11戏曲,http://106.46.39.174:808/hls/11/index.m3u8
CCTV-12社会与法,http://106.46.39.174:808/hls/12/index.m3u8
CCTV-13新闻,http://106.46.39.174:808/hls/13/index.m3u8
CCTV-14少儿,http://106.46.39.174:808/hls/14/index.m3u8,http://106.46.39.174:808/hls/14/index.m3u8
CCTV-15音乐,http://106.46.39.174:808/hls/15/index.m3u8
CNTV,http://106.46.39.174:808/hls/16/index.m3u8
CCTV-17农业农村,http://106.46.39.174:808/hls/17/index.m3u8
CCTV5+体育赛事,http://106.46.39.174:808/hls/18/index.m3u8
🌍卫视频道,#genre#
河南卫视,http://106.46.39.174:808/hls/31/index.m3u8
河南都市频道,http://106.46.39.174:808/hls/32/index.m3u8
河南民生频道,http://106.46.39.174:808/hls/33/index.m3u8
河南法制频道,http://106.46.39.174:808/hls/34/index.m3u8
河南电视剧频道,http://106.46.39.174:808/hls/35/index.m3u8
河南公共频道,http://106.46.39.174:808/hls/38/index.m3u8
河南新农村频道,http://106.46.39.174:808/hls/39/index.m3u8
河南国际频道,http://106.46.39.174:808/hls/40/index.m3u8
浙江卫视,http://106.46.39.174:808/hls/61/index.m3u8
东方卫视,http://106.46.39.174:808/hls/62/index.m3u8
江苏卫视,http://106.46.39.174:808/hls/63/index.m3u8
北京卫视,http://106.46.39.174:808/hls/64/index.m3u8
广东卫视,http://106.46.39.174:808/hls/65/index.m3u8
黑龙江卫视,http://106.46.39.174:808/hls/66/index.m3u8
山东卫视,http://106.46.39.174:808/hls/67/index.m3u8
安徽卫视,http://106.46.39.174:808/hls/68/index.m3u8
辽宁卫视,http://106.46.39.174:808/hls/69/index.m3u8
陕西卫视,http://106.46.39.174:808/hls/70/index.m3u8
贵州卫视,http://106.46.39.174:808/hls/71/index.m3u8
河北卫视,http://106.46.39.174:808/hls/72/index.m3u8
江西卫视,http://106.46.39.174:808/hls/73/index.m3u8
湖南卫视,http://106.46.39.174:808/hls/74/index.m3u8
深圳卫视,http://106.46.39.174:808/hls/75/index.m3u8
四川卫视,http://106.46.39.174:808/hls/76/index.m3u8
湖北卫视,http://106.46.39.174:808/hls/77/index.m3u8
天津卫视,http://106.46.39.174:808/hls/78/index.m3u8
云南卫视,http://106.46.39.174:808/hls/79/index.m3u8
重庆卫视,http://106.46.39.174:808/hls/80/index.m3u8
吉林卫视,http://106.46.39.174:808/hls/81/index.m3u8
宁夏卫视,http://106.46.39.174:808/hls/82/index.m3u8
东南卫视,http://106.46.39.174:808/hls/83/index.m3u8
内蒙古卫视,http://106.46.39.174:808/hls/84/index.m3u8
广西卫视,http://106.46.39.174:808/hls/85/index.m3u8
山西卫视,http://106.46.39.174:808/hls/86/index.m3u8
海南卫视,http://106.46.39.174:808/hls/88/index.m3u8
甘肃卫视,http://106.46.39.174:808/hls/89/index.m3u8
青海卫视,http://106.46.39.174:808/hls/90/index.m3u8
金鹰卡通,http://106.46.39.174:808/hls/91/index.m3u8
嘉佳卡通,http://106.46.39.174:808/hls/92/index.m3u8
卡酷动画,http://106.46.39.174:808/hls/93/index.m3u8
炫动卡通,http://106.46.39.174:808/hls/94/index.m3u8
信阳综合频道,http://106.46.39.174:808/hls/100/index.m3u8
信阳公共频道,http://106.46.39.174:808/hls/101/index.m3u8
平桥广电中心,http://106.46.39.174:808/hls/103/index.m3u8

🌍地方频道,#genre#

梨园频道,http://live.dxhmt.cn:9080/19903718786/3159ec673c114135816d45dd52ad7396.m3u8
巩义新闻,http://tvpull.dxhmt.cn:9081/tv/10181-1.m3u8
新密新闻,http://tvpull.dxhmt.cn:9081/tv/10183-2.m3u8
新郑综合,http://tvpull.dxhmt.cn:9081/tv/10184-1.m3u8
滑县新闻,http://tvpull.dxhmt.cn:9081/tv/10526-1.m3u8
林州综合,http://tvpull.dxhmt.cn:9081/tv/10581-1.m3u8
内黄综合,http://tvpull.dxhmt.cn:9081/tv/10527-1.m3u8
淅川综合,http://tvpull.dxhmt.cn:9081/tv/11326-1.m3u8
栾川新闻,http://tvpull.dxhmt.cn:9081/tv/10324-1.m3u8
孟津新闻,http://tvpull.dxhmt.cn:9081/tv/10322-2.m3u8
新安新闻,http://tvpull.dxhmt.cn:9081/tv/10323-1.m3u8
宜阳综合,http://tvpull.dxhmt.cn:9081/tv/10327-1.m3u8
焦作综合,http://zhpull.dxhmt.cn/jiaozuo/b75a92c9503e47cf9e89f7ff247b65f2/playlist.m3u8
焦作公共,http://zhpull.dxhmt.cn/jiaozuo/29b65b69130c4ef1a3283cc7b913da05/playlist.m3u8
武陟新闻,http://tvpull.dxhmt.cn:9081/tv/10823-1.m3u8
禹州综合,http://tvpull.dxhmt.cn:9081/tv/11081-1.m3u8
禹州公共,http://tvpull.dxhmt.cn:9081/tv/11081-2.m3u8
兰考新闻,http://tvpull.dxhmt.cn:9081/tv/10225-1.m3u8
杞县新闻,http://tvpull.dxhmt.cn:9081/tv/10221-1.m3u8
扶沟综合,http://tvpull.dxhmt.cn:9081/tv/11621-1.m3u8
鹿邑新闻,http://tvpull.dxhmt.cn:9081/tv/11628-1.m3u8
太康综合,http://tvpull.dxhmt.cn:9081/tv/11627-1.m3u8
永城新闻,http://tvpull.dxhmt.cn:9081/tv/11481-1.m3u8
卢氏综合,http://tvpull.dxhmt.cn:9081/tv/11224-1.m3u8
渑池新闻,http://tvpull.dxhmt.cn:9081/tv/11221-1.m3u8
义马新闻,http://tvpull.dxhmt.cn:9081/tv/11281-1.m3u8
淮滨综合,http://tvpull.dxhmt.cn:9081/tv/11527-1.m3u8
新县综合,http://tvpull.dxhmt.cn:9081/tv/11523-1.m3u8
舞阳新闻,http://tvpull.dxhmt.cn:9081/tv/11121-1.m3u8
济源,http://tvpull.dxhmt.cn:9081/tv/19001-1.m3u8
